iata,icao,name,city,country,timezone,utc_offset_hours,dst,openflights_id
AAA,NTGA,Anaa Airport,Anaa,French Polynesia,Pacific/Tahiti,-10,U,1973
AAC,HEAR,El Arish International Airport,El Arish,Egypt,Africa/Cairo,2,U,5690
AAE,DABB,Rabah Bitat Airport,Annaba,Algeria,Africa/Algiers,1,N,220
AAF,KAAF,Apalachicola Regional Airport,Apalachicola,United States,America/New_York,-5,A,8252
AAH,EDKA,Aachen-Merzbrück Airport,Aachen,Germany,Europe/Berlin,1,E,4165
AAL,EKYT,Aalborg Airport,Aalborg,Denmark,Europe/Copenhagen,1,E,628
AAM,FAMD,Malamala Airport,Malamala,South Africa,Africa/Johannesburg,2,U,5605
AAN,OMAL,Al Ain International Airport,Al Ain,United Arab Emirates,Asia/Dubai,4,U,5937
AAO,SVAN,Anaco Airport,Anaco,Venezuela,America/Caracas,-4,U,2819
AAP,KAAP,Andrau Airpark,Houston,United States,America/Chicago,-6,A,9225
AAQ,URKA,Anapa Vityazevo Airport,Anapa,Russia,Europe/Moscow,3,N,4353
AAR,EKAH,Aarhus Airport,Aarhus,Denmark,Europe/Copenhagen,1,E,607
AAT,ZWAT,Altay Air Base,Altay,China,Asia/Shanghai,8,U,6946
AAX,SBAX,Romeu Zema Airport,Araxa,Brazil,America/Sao_Paulo,-3,S,7395
AAY,OYGD,Al Ghaidah International Airport,Al Ghaidah Intl,Yemen,Asia/Aden,3,U,3979
AAZ,MGQZ,Quezaltenango Airport,Quezaltenango,Guatemala,America/Guatemala,-6,U,5813
ABA,UNAA,Abakan Airport,Abakan,Russia,Asia/Krasnoyarsk,7,N,2955
ABB,DNAS,Asaba International Airport,Asaba,Nigeria,Africa/Lagos,1,N,9825
ABC,LEAB,Albacete-Los Llanos Airport,Albacete,Spain,Europe/Madrid,1,E,1211
ABD,OIAA,Abadan Airport,Abadan,Iran,Asia/Tehran,3.5,E,2097
ABE,KABE,Lehigh Valley International Airport,Allentown,United States,America/New_York,-5,A,4355
ABF,NGAB,Abaiang Airport,Abaiang Atoll,Kiribati,Pacific/Tarawa,12,U,7320
ABI,KABI,Abilene Regional Airport,Abilene,United States,America/Chicago,-6,A,3718
ABJ,DIAP,Port Bouet Airport,Abidjan,Cote d'Ivoire,Africa/Abidjan,0,N,253
ABK,HAKD,Kabri Dehar Airport,Kabri Dehar,Ethiopia,Africa/Addis_Ababa,3,U,5682
ABL,PAFM,Ambler Airport,Ambler,United States,America/Anchorage,-9,A,7177
ABM,YBAM,Northern Peninsula Airport,Amberley,Australia,Australia/Brisbane,10,O,3318
ABN,SMBN,Albina Airport,Albina,Suriname,America/Paramaribo,-3,U,7325
ABQ,KABQ,Albuquerque International Sunport,Albuquerque,United States,America/Denver,-7,A,4019
ABR,KABR,Aberdeen Regional Airport,Aberdeen,United States,America/Chicago,-6,A,5714
ABS,HEBL,Abu Simbel Airport,Abu Simbel,Egypt,Africa/Cairo,2,U,1127
ABT,OEBA,Al Baha Airport,El-baha,Saudi Arabia,Asia/Riyadh,3,U,2061
ABV,DNAA,Nnamdi Azikiwe International Airport,Abuja,Nigeria,Africa/Lagos,1,N,260
ABX,YMAY,Albury Airport,Albury,Australia,Australia/Sydney,10,O,3333
ABY,KABY,Southwest Georgia Regional Airport,Albany,United States,America/New_York,-5,A,5715
ABZ,EGPD,Aberdeen Dyce Airport,Aberdeen,United Kingdom,Europe/London,0,E,532
ACA,MMAA,General Juan N Alvarez International Airport,Acapulco,Mexico,America/Mexico_City,-6,S,1783
ACC,DGAA,Kotoka International Airport,Accra,Ghana,Africa/Accra,0,N,248
ACD,SKAD,Alcides Fernández Airport,Acandi,Colombia,America/Bogota,-5,U,7354
ACE,GCRR,Lanzarote Airport,Arrecife,Spain,Atlantic/Canary,0,E,1055
ACF,YBAF,Brisbane Archerfield Airport,Brisbane,Australia,Australia/Brisbane,10,O,3317
ACH,LSZR,St Gallen Altenrhein Airport,Altenrhein,Switzerland,Europe/Zurich,1,E,1679
ACI,EGJA,Alderney Airport,Alderney,Guernsey,Europe/Guernsey,0,E,497
